"",,,Total Workers !! Estimate,Total Workers !! Margin of Error
geoid,destination_name,origin_name,b302100_e1,b302100_m1
C4300US3607934035,"Somerset County, New Jersey","Putnam County, New York",20,+/-36
C4300US3607934039,"Union County, New Jersey","Putnam County, New York",4,+/-30
C4300US3607936005,"Bronx County, New York","Putnam County, New York","1,770",+/-298
C4300US3607936027,"Dutchess County, New York","Putnam County, New York","1,370",+/-265
C4300US3607936047,"Kings County, New York","Putnam County, New York",510,+/-205
C4300US3607936059,"Nassau County, New York","Putnam County, New York",65,+/-54
C4300US3607936061,"New York County, New York","Putnam County, New York","4,460",+/-516
C4300US3607936071,"Orange County, New York","Putnam County, New York",405,+/-152
C4300US3607936077,"Otsego County, New York","Putnam County, New York",15,+/-28
C4300US3607936079,"Putnam County, New York","Putnam County, New York","17,685","+/-1,099"
C4300US3607936081,"Queens County, New York","Putnam County, New York",285,+/-113
C4300US3607936087,"Rockland County, New York","Putnam County, New York",500,+/-158
C4300US3607936093,"Schenectady County, New York","Putnam County, New York",75,+/-94
C4300US3607936103,"Suffolk County, New York","Putnam County, New York",55,+/-64
C4300US3607936105,"Sullivan County, New York","Putnam County, New York",4,+/-14
C4300US3607936111,"Ulster County, New York","Putnam County, New York",60,+/-50
C4300US3607936119,"Westchester County, New York","Putnam County, New York","18,325","+/-1,047"
C4300US3608134001,"Atlantic County, New Jersey","Queens County, New York",4,+/-4
C4300US3608134003,"Bergen County, New Jersey","Queens County, New York","3,165",+/-641
C4300US3608134005,"Burlington County, New Jersey","Queens County, New York",35,+/-30
C4300US3608134007,"Camden County, New Jersey","Queens County, New York",10,+/-20
C4300US3608134011,"Cumberland County, New Jersey","Queens County, New York",4,+/-8
C4300US3608134013,"Essex County, New Jersey","Queens County, New York","1,900",+/-413
C4300US3608134017,"Hudson County, New Jersey","Queens County, New York","3,645",+/-486
C4300US3608134019,"Hunterdon County, New Jersey","Queens County, New York",65,+/-70
C4300US3608134021,"Mercer County, New Jersey","Queens County, New York",30,+/-34
C4300US3608134023,"Middlesex County, New Jersey","Queens County, New York",625,+/-192
C4300US3608134025,"Monmouth County, New Jersey","Queens County, New York",310,+/-133
C4300US3608134027,"Morris County, New Jersey","Queens County, New York",665,+/-258
C4300US3608134031,"Passaic County, New Jersey","Queens County, New York",845,+/-219
C4300US3608134035,"Somerset County, New Jersey","Queens County, New York",145,+/-69
C4300US3608134037,"Sussex County, New Jersey","Queens County, New York",25,+/-42
C4300US3608134039,"Union County, New Jersey","Queens County, New York",840,+/-279
C4300US3608134041,"Warren County, New Jersey","Queens County, New York",15,+/-17
C4300US3608136001,"Albany County, New York","Queens County, New York",50,+/-40
C4300US3608136005,"Bronx County, New York","Queens County, New York","22,465","+/-1,317"
C4300US3608136007,"Broome County, New York","Queens County, New York",45,+/-49
C4300US3608136013,"Chautauqua County, New York","Queens County, New York",40,+/-46
C4300US3608136017,"Chenango County, New York","Queens County, New York",20,+/-22
C4300US3608136021,"Columbia County, New York","Queens County, New York",20,+/-28
C4300US3608136023,"Cortland County, New York","Queens County, New York",30,+/-31
C4300US3608136025,"Delaware County, New York","Queens County, New York",30,+/-34
C4300US3608136027,"Dutchess County, New York","Queens County, New York",170,+/-80
C4300US3608136029,"Erie County, New York","Queens County, New York",4,+/-17
C4300US3608136037,"Genesee County, New York","Queens County, New York",15,+/-17
C4300US3608136039,"Greene County, New York","Queens County, New York",45,+/-69
C4300US3608136043,"Herkimer County, New York","Queens County, New York",10,+/-15
C4300US3608136045,"Jefferson County, New York","Queens County, New York",35,+/-30
C4300US3608136047,"Kings County, New York","Queens County, New York","93,980","+/-2,900"
C4300US3608136055,"Monroe County, New York","Queens County, New York",50,+/-47
C4300US3608136057,"Montgomery County, New York","Queens County, New York",90,+/-80
C4300US3608136059,"Nassau County, New York","Queens County, New York","75,390","+/-2,394"
C4300US3608136061,"New York County, New York","Queens County, New York","358,515","+/-4,390"
C4300US3608136063,"Niagara County, New York","Queens County, New York",20,+/-23
C4300US3608136065,"Oneida County, New York","Queens County, New York",20,+/-24
C4300US3608136069,"Ontario County, New York","Queens County, New York",55,+/-81
C4300US3608136071,"Orange County, New York","Queens County, New York",320,+/-132
C4300US3608136075,"Oswego County, New York","Queens County, New York",185,+/-172
C4300US3608136079,"Putnam County, New York","Queens County, New York",75,+/-67
C4300US3608136081,"Queens County, New York","Queens County, New York","532,135","+/-5,306"
C4300US3608136083,"Rensselaer County, New York","Queens County, New York",360,+/-157
C4300US3608136085,"Richmond County, New York","Queens County, New York","1,640",+/-356
C4300US3608136087,"Rockland County, New York","Queens County, New York",325,+/-103
C4300US3608136091,"Saratoga County, New York","Queens County, New York",15,+/-20
C4300US3608136095,"Schoharie County, New York","Queens County, New York",15,+/-28
C4300US3608136103,"Suffolk County, New York","Queens County, New York","13,580","+/-1,056"
C4300US3608136105,"Sullivan County, New York","Queens County, New York",70,+/-82
C4300US3608136109,"Tompkins County, New York","Queens County, New York",25,+/-19
C4300US3608136111,"Ulster County, New York","Queens County, New York",75,+/-56
C4300US3608136115,"Washington County, New York","Queens County, New York",150,+/-213
C4300US3608136117,"Wayne County, New York","Queens County, New York",4,+/-3
C4300US3608136119,"Westchester County, New York","Queens County, New York","6,595",+/-857
C4300US3608334013,"Essex County, New Jersey","Rensselaer County, New York",20,+/-34
C4300US3608336001,"Albany County, New York","Rensselaer County, New York","30,055","+/-1,321"
C4300US3608336005,"Bronx County, New York","Rensselaer County, New York",4,+/-9
C4300US3608336021,"Columbia County, New York","Rensselaer County, New York","1,170",+/-244
C4300US3608336027,"Dutchess County, New York","Rensselaer County, New York",260,+/-128
C4300US3608336033,"Franklin County, New York","Rensselaer County, New York",80,+/-75
C4300US3608336035,"Fulton County, New York","Rensselaer County, New York",60,+/-48
C4300US3608336039,"Greene County, New York","Rensselaer County, New York",360,+/-156
C4300US3608336045,"Jefferson County, New York","Rensselaer County, New York",10,+/-13
C4300US3608336055,"Monroe County, New York","Rensselaer County, New York",15,+/-25
C4300US3608336057,"Montgomery County, New York","Rensselaer County, New York",120,+/-81
C4300US3608336059,"Nassau County, New York","Rensselaer County, New York",35,+/-32
C4300US3608336061,"New York County, New York","Rensselaer County, New York",140,+/-71
C4300US3608336065,"Oneida County, New York","Rensselaer County, New York",40,+/-57
C4300US3608336067,"Onondaga County, New York","Rensselaer County, New York",55,+/-49
C4300US3608336071,"Orange County, New York","Rensselaer County, New York",25,+/-23
C4300US3608336081,"Queens County, New York","Rensselaer County, New York",20,+/-14
C4300US3608336083,"Rensselaer County, New York","Rensselaer County, New York","37,030","+/-1,305"
C4300US3608336087,"Rockland County, New York","Rensselaer County, New York",4,+/-2
C4300US3608336091,"Saratoga County, New York","Rensselaer County, New York","3,950",+/-490
C4300US3608336093,"Schenectady County, New York","Rensselaer County, New York","2,495",+/-359
C4300US3608336105,"Sullivan County, New York","Rensselaer County, New York",4,+/-12
C4300US3608336111,"Ulster County, New York","Rensselaer County, New York",40,+/-40
C4300US3608336113,"Warren County, New York","Rensselaer County, New York",245,+/-107
C4300US3608336115,"Washington County, New York","Rensselaer County, New York",255,+/-101
C4300US3608336119,"Westchester County, New York","Rensselaer County, New York",40,+/-35
C4300US3608336121,"Wyoming County, New York","Rensselaer County, New York",4,+/-18
C4300US3608534003,"Bergen County, New Jersey","Richmond County, New York",910,+/-211
C4300US3608534005,"Burlington County, New Jersey","Richmond County, New York",45,+/-41
C4300US3608534007,"Camden County, New Jersey","Richmond County, New York",40,+/-47
C4300US3608534011,"Cumberland County, New Jersey","Richmond County, New York",10,+/-16
C4300US3608534013,"Essex County, New Jersey","Richmond County, New York","1,550",+/-332
C4300US3608534017,"Hudson County, New Jersey","Richmond County, New York","2,875",+/-448
C4300US3608534019,"Hunterdon County, New Jersey","Richmond County, New York",15,+/-21
C4300US3608534021,"Mercer County, New Jersey","Richmond County, New York",305,+/-157
C4300US3608534023,"Middlesex County, New Jersey","Richmond County, New York","3,385",+/-483
C4300US3608534025,"Monmouth County, New Jersey","Richmond County, New York",755,+/-243
C4300US3608534027,"Morris County, New Jersey","Richmond County, New York",375,+/-153
C4300US3608534029,"Ocean County, New Jersey","Richmond County, New York",155,+/-92
C4300US3608534031,"Passaic County, New Jersey","Richmond County, New York",190,+/-99
C4300US3608534035,"Somerset County, New Jersey","Richmond County, New York",775,+/-227
C4300US3608534039,"Union County, New Jersey","Richmond County, New York","2,005",+/-404
C4300US3608536005,"Bronx County, New York","Richmond County, New York","1,675",+/-387
C4300US3608536009,"Cattaraugus County, New York","Richmond County, New York",4,+/-6
C4300US3608536017,"Chenango County, New York","Richmond County, New York",4,+/-19
C4300US3608536047,"Kings County, New York","Richmond County, New York","31,760","+/-1,505"
C4300US3608536059,"Nassau County, New York","Richmond County, New York","1,000",+/-246
C4300US3608536061,"New York County, New York","Richmond County, New York","48,345","+/-2,120"
C4300US3608536071,"Orange County, New York","Richmond County, New York",20,+/-28
C4300US3608536081,"Queens County, New York","Richmond County, New York","5,215",+/-706
C4300US3608536083,"Rensselaer County, New York","Richmond County, New York",40,+/-83
C4300US3608536085,"Richmond County, New York","Richmond County, New York","116,645","+/-3,159"
C4300US3608536087,"Rockland County, New York","Richmond County, New York",65,+/-76
C4300US3608536103,"Suffolk County, New York","Richmond County, New York",430,+/-201
C4300US3608536111,"Ulster County, New York","Richmond County, New York",55,+/-57
C4300US3608536115,"Washington County, New York","Richmond County, New York",15,+/-22
C4300US3608536119,"Westchester County, New York","Richmond County, New York",220,+/-131
C4300US3608734003,"Bergen County, New Jersey","Rockland County, New York","10,195",+/-827
C4300US3608734007,"Camden County, New Jersey","Rockland County, New York",4,+/-14
C4300US3608734013,"Essex County, New Jersey","Rockland County, New York",900,+/-213
C4300US3608734015,"Gloucester County, New Jersey","Rockland County, New York",15,+/-25
C4300US3608734017,"Hudson County, New Jersey","Rockland County, New York","1,160",+/-277
C4300US3608734021,"Mercer County, New Jersey","Rockland County, New York",10,+/-16
C4300US3608734023,"Middlesex County, New Jersey","Rockland County, New York",205,+/-91
C4300US3608734027,"Morris County, New Jersey","Rockland County, New York",840,+/-203
C4300US3608734029,"Ocean County, New Jersey","Rockland County, New York",40,+/-38
C4300US3608734031,"Passaic County, New Jersey","Rockland County, New York",855,+/-204
C4300US3608734035,"Somerset County, New Jersey","Rockland County, New York",110,+/-65
C4300US3608734039,"Union County, New Jersey","Rockland County, New York",210,+/-76
C4300US3608736001,"Albany County, New York","Rockland County, New York",35,+/-26
C4300US3608736005,"Bronx County, New York","Rockland County, New York","5,670",+/-635
C4300US3608736007,"Broome County, New York","Rockland County, New York",30,+/-40
C4300US3608736011,"Cayuga County, New York","Rockland County, New York",15,+/-25
C4300US3608736021,"Columbia County, New York","Rockland County, New York",20,+/-27
C4300US3608736025,"Delaware County, New York","Rockland County, New York",15,+/-25
C4300US3608736027,"Dutchess County, New York","Rockland County, New York",475,+/-213
C4300US3608736037,"Genesee County, New York","Rockland County, New York",20,+/-32
C4300US3608736047,"Kings County, New York","Rockland County, New York","2,645",+/-431
C4300US3608736059,"Nassau County, New York","Rockland County, New York",460,+/-154
C4300US3608736061,"New York County, New York","Rockland County, New York","12,415",+/-776
C4300US3608736067,"Onondaga County, New York","Rockland County, New York",20,+/-31
C4300US3608736071,"Orange County, New York","Rockland County, New York","2,545",+/-411
C4300US3608736079,"Putnam County, New York","Rockland County, New York",95,+/-69
C4300US3608736081,"Queens County, New York","Rockland County, New York","1,460",+/-340
C4300US3608736085,"Richmond County, New York","Rockland County, New York",60,+/-57
C4300US3608736087,"Rockland County, New York","Rockland County, New York","92,960","+/-2,304"
C4300US3608736089,"St. Lawrence County, New York","Rockland County, New York",15,+/-23
C4300US3608736095,"Schoharie County, New York","Rockland County, New York",10,+/-16
C4300US3608736103,"Suffolk County, New York","Rockland County, New York",35,+/-24
C4300US3608736105,"Sullivan County, New York","Rockland County, New York",130,+/-74
C4300US3608736111,"Ulster County, New York","Rockland County, New York",10,+/-14
C4300US3608736113,"Warren County, New York","Rockland County, New York",10,+/-14
C4300US3608736115,"Washington County, New York","Rockland County, New York",4,+/-1
C4300US3608736119,"Westchester County, New York","Rockland County, New York","12,005",+/-878
C4300US3608934003,"Bergen County, New Jersey","St. Lawrence County, New York",25,+/-36
C4300US3608934031,"Passaic County, New Jersey","St. Lawrence County, New York",15,+/-23
C4300US3608936001,"Albany County, New York","St. Lawrence County, New York",10,+/-16
C4300US3608936005,"Bronx County, New York","St. Lawrence County, New York",4,+/-15
C4300US3608936007,"Broome County, New York","St. Lawrence County, New York",4,+/-30
C4300US3608936019,"Clinton County, New York","St. Lawrence County, New York",135,+/-76
C4300US3608936021,"Columbia County, New York","St. Lawrence County, New York",4,+/-12
C4300US3608936023,"Cortland County, New York","St. Lawrence County, New York",4,+/-30
C4300US3608936025,"Delaware County, New York","St. Lawrence County, New York",10,+/-13
C4300US3608936027,"Dutchess County, New York","St. Lawrence County, New York",4,+/-14
C4300US3608936029,"Erie County, New York","St. Lawrence County, New York",10,+/-13
C4300US3608936031,"Essex County, New York","St. Lawrence County, New York",70,+/-40
C4300US3608936033,"Franklin County, New York","St. Lawrence County, New York","1,980",+/-294
C4300US3608936035,"Fulton County, New York","St. Lawrence County, New York",4,+/-4
C4300US3608936037,"Genesee County, New York","St. Lawrence County, New York",4,+/-8
C4300US3608936043,"Herkimer County, New York","St. Lawrence County, New York",10,+/-16
C4300US3608936045,"Jefferson County, New York","St. Lawrence County, New York","1,195",+/-219
C4300US3608936047,"Kings County, New York","St. Lawrence County, New York",4,+/-4
C4300US3608936049,"Lewis County, New York","St. Lawrence County, New York",200,+/-76
C4300US3608936053,"Madison County, New York","St. Lawrence County, New York",4,+/-1
C4300US3608936055,"Monroe County, New York","St. Lawrence County, New York",35,+/-22
C4300US3608936065,"Oneida County, New York","St. Lawrence County, New York",15,+/-19
C4300US3608936067,"Onondaga County, New York","St. Lawrence County, New York",130,+/-77
C4300US3608936075,"Oswego County, New York","St. Lawrence County, New York",10,+/-13
C4300US3608936077,"Otsego County, New York","St. Lawrence County, New York",50,+/-73
C4300US3608936081,"Queens County, New York","St. Lawrence County, New York",4,+/-4
C4300US3608936089,"St. Lawrence County, New York","St. Lawrence County, New York","39,300","+/-1,062"
C4300US3608936091,"Saratoga County, New York","St. Lawrence County, New York",4,+/-30
C4300US3608936101,"Steuben County, New York","St. Lawrence County, New York",4,+/-10
C4300US3608936103,"Suffolk County, New York","St. Lawrence County, New York",4,+/-5
C4300US3608936111,"Ulster County, New York","St. Lawrence County, New York",25,+/-27
C4300US3608936113,"Warren County, New York","St. Lawrence County, New York",30,+/-35
C4300US3608936115,"Washington County, New York","St. Lawrence County, New York",10,+/-20
C4300US3609134023,"Middlesex County, New Jersey","Saratoga County, New York",15,+/-23
C4300US3609134035,"Somerset County, New Jersey","Saratoga County, New York",4,+/-12
C4300US3609134039,"Union County, New Jersey","Saratoga County, New York",15,+/-30
C4300US3609136001,"Albany County, New York","Saratoga County, New York","21,290","+/-1,137"
C4300US3609136019,"Clinton County, New York","Saratoga County, New York",15,+/-17
C4300US3609136021,"Columbia County, New York","Saratoga County, New York",155,+/-85
C4300US3609136025,"Delaware County, New York","Saratoga County, New York",25,+/-27
C4300US3609136027,"Dutchess County, New York","Saratoga County, New York",65,+/-49
C4300US3609136029,"Erie County, New York","Saratoga County, New York",40,+/-41
C4300US3609136031,"Essex County, New York","Saratoga County, New York",75,+/-57
C4300US3609136033,"Franklin County, New York","Saratoga County, New York",45,+/-55
C4300US3609136035,"Fulton County, New York","Saratoga County, New York",710,+/-170
C4300US3609136039,"Greene County, New York","Saratoga County, New York",80,+/-81
C4300US3609136041,"Hamilton County, New York","Saratoga County, New York",55,+/-55
C4300US3609136043,"Herkimer County, New York","Saratoga County, New York",4,+/-11
C4300US3609136047,"Kings County, New York","Saratoga County, New York",75,+/-98
C4300US3609136049,"Lewis County, New York","Saratoga County, New York",15,+/-24
C4300US3609136053,"Madison County, New York","Saratoga County, New York",10,+/-13
C4300US3609136055,"Monroe County, New York","Saratoga County, New York",25,+/-38
C4300US3609136057,"Montgomery County, New York","Saratoga County, New York",635,+/-164
C4300US3609136059,"Nassau County, New York","Saratoga County, New York",15,+/-22
C4300US3609136061,"New York County, New York","Saratoga County, New York",385,+/-210
C4300US3609136065,"Oneida County, New York","Saratoga County, New York",75,+/-64
C4300US3609136067,"Onondaga County, New York","Saratoga County, New York",45,+/-38
C4300US3609136071,"Orange County, New York","Saratoga County, New York",80,+/-63
C4300US3609136077,"Otsego County, New York","Saratoga County, New York",80,+/-64
C4300US3609136081,"Queens County, New York","Saratoga County, New York",40,+/-31
C4300US3609136083,"Rensselaer County, New York","Saratoga County, New York","5,505",+/-657
C4300US3609136085,"Richmond County, New York","Saratoga County, New York",30,+/-24
C4300US3609136089,"St. Lawrence County, New York","Saratoga County, New York",4,+/-30
C4300US3609136091,"Saratoga County, New York","Saratoga County, New York","74,385","+/-1,588"
C4300US3609136093,"Schenectady County, New York","Saratoga County, New York","8,495",+/-756
C4300US3609136095,"Schoharie County, New York","Saratoga County, New York",50,+/-41
C4300US3609136103,"Suffolk County, New York","Saratoga County, New York",4,+/-30
C4300US3609136111,"Ulster County, New York","Saratoga County, New York",115,+/-69
C4300US3609136113,"Warren County, New York","Saratoga County, New York","6,250",+/-654
C4300US3609136115,"Washington County, New York","Saratoga County, New York","2,565",+/-434
C4300US3609136119,"Westchester County, New York","Saratoga County, New York",75,+/-77
C4300US3609336001,"Albany County, New York","Schenectady County, New York","22,750","+/-1,074"
C4300US3609336025,"Delaware County, New York","Schenectady County, New York",15,+/-20
C4300US3609336031,"Essex County, New York","Schenectady County, New York",50,+/-63
C4300US3609336035,"Fulton County, New York","Schenectady County, New York",220,+/-91
C4300US3609336039,"Greene County, New York","Schenectady County, New York",170,+/-127
C4300US3609336047,"Kings County, New York","Schenectady County, New York",50,+/-55
C4300US3609336055,"Monroe County, New York","Schenectady County, New York",100,+/-85
C4300US3609336057,"Montgomery County, New York","Schenectady County, New York",610,+/-185
C4300US3609336059,"Nassau County, New York","Schenectady County, New York",10,+/-14
C4300US3609336061,"New York County, New York","Schenectady County, New York",45,+/-49
C4300US3609336065,"Oneida County, New York","Schenectady County, New York",10,+/-16
C4300US3609336067,"Onondaga County, New York","Schenectady County, New York",20,+/-31
C4300US3609336077,"Otsego County, New York","Schenectady County, New York",105,+/-83
C4300US3609336081,"Queens County, New York","Schenectady County, New York",35,+/-40
C4300US3609336083,"Rensselaer County, New York","Schenectady County, New York","2,515",+/-368
C4300US3609336085,"Richmond County, New York","Schenectady County, New York",30,+/-36
C4300US3609336091,"Saratoga County, New York","Schenectady County, New York","4,680",+/-484
C4300US3609336093,"Schenectady County, New York","Schenectady County, New York","40,520","+/-1,240"
C4300US3609336095,"Schoharie County, New York","Schenectady County, New York",265,+/-134
C4300US3609336103,"Suffolk County, New York","Schenectady County, New York",10,+/-20
C4300US3609336105,"Sullivan County, New York","Schenectady County, New York",25,+/-40
C4300US3609336111,"Ulster County, New York","Schenectady County, New York",10,+/-14
C4300US3609336113,"Warren County, New York","Schenectady County, New York",85,+/-52
C4300US3609336115,"Washington County, New York","Schenectady County, New York",30,+/-33
C4300US3609336119,"Westchester County, New York","Schenectady County, New York",35,+/-44
C4300US3609534013,"Essex County, New Jersey","Schoharie County, New York",10,+/-15
C4300US3609536001,"Albany County, New York","Schoharie County, New York","2,125",+/-252
C4300US3609536007,"Broome County, New York","Schoharie County, New York",10,+/-13
C4300US3609536011,"Cayuga County, New York","Schoharie County, New York",4,+/-24
C4300US3609536017,"Chenango County, New York","Schoharie County, New York",40,+/-45
C4300US3609536019,"Clinton County, New York","Schoharie County, New York",10,+/-22
C4300US3609536021,"Columbia County, New York","Schoharie County, New York",15,+/-15
C4300US3609536025,"Delaware County, New York","Schoharie County, New York",410,+/-68
C4300US3609536027,"Dutchess County, New York","Schoharie County, New York",25,+/-23
C4300US3609536035,"Fulton County, New York","Schoharie County, New York",75,+/-34
C4300US3609536039,"Greene County, New York","Schoharie County, New York",305,+/-78
C4300US3609536043,"Herkimer County, New York","Schoharie County, New York",4,+/-9
C4300US3609536047,"Kings County, New York","Schoharie County, New York",35,+/-32
C4300US3609536053,"Madison County, New York","Schoharie County, New York",4,+/-4
C4300US3609536057,"Montgomery County, New York","Schoharie County, New York",215,+/-58
C4300US3609536059,"Nassau County, New York","Schoharie County, New York",10,+/-14
C4300US3609536061,"New York County, New York","Schoharie County, New York",70,+/-54
C4300US3609536065,"Oneida County, New York","Schoharie County, New York",50,+/-46
C4300US3609536067,"Onondaga County, New York","Schoharie County, New York",50,+/-57
C4300US3609536071,"Orange County, New York","Schoharie County, New York",15,+/-12
C4300US3609536077,"Otsego County, New York","Schoharie County, New York",455,+/-102
C4300US3609536081,"Queens County, New York","Schoharie County, New York",4,+/-10
C4300US3609536083,"Rensselaer County, New York","Schoharie County, New York",170,+/-64
C4300US3609536085,"Richmond County, New York","Schoharie County, New York",35,+/-27
C4300US3609536087,"Rockland County, New York","Schoharie County, New York",4,+/-13
C4300US3609536091,"Saratoga County, New York","Schoharie County, New York",120,+/-45
C4300US3609536093,"Schenectady County, New York","Schoharie County, New York","1,260",+/-199
C4300US3609536095,"Schoharie County, New York","Schoharie County, New York","7,545",+/-369
C4300US3609536103,"Suffolk County, New York","Schoharie County, New York",20,+/-18
C4300US3609536105,"Sullivan County, New York","Schoharie County, New York",35,+/-55
C4300US3609536109,"Tompkins County, New York","Schoharie County, New York",10,+/-14
C4300US3609536111,"Ulster County, New York","Schoharie County, New York",15,+/-19
C4300US3609536119,"Westchester County, New York","Schoharie County, New York",20,+/-19
C4300US3609734039,"Union County, New Jersey","Schuyler County, New York",4,+/-1
C4300US3609736007,"Broome County, New York","Schuyler County, New York",4,+/-14
C4300US3609736011,"Cayuga County, New York","Schuyler County, New York",4,+/-20
C4300US3609736015,"Chemung County, New York","Schuyler County, New York","1,095",+/-191
C4300US3609736023,"Cortland County, New York","Schuyler County, New York",4,+/-1
C4300US3609736051,"Livingston County, New York","Schuyler County, New York",10,+/-19
C4300US3609736055,"Monroe County, New York","Schuyler County, New York",4,+/-20
C4300US3609736059,"Nassau County, New York","Schuyler County, New York",4,+/-20
C4300US3609736065,"Oneida County, New York","Schuyler County, New York",4,+/-20
C4300US3609736067,"Onondaga County, New York","Schuyler County, New York",20,+/-24
C4300US3609736069,"Ontario County, New York","Schuyler County, New York",70,+/-42
C4300US3609736097,"Schuyler County, New York","Schuyler County, New York","3,860",+/-314
C4300US3609736099,"Seneca County, New York","Schuyler County, New York",120,+/-52
C4300US3609736101,"Steuben County, New York","Schuyler County, New York",735,+/-114
C4300US3609736103,"Suffolk County, New York","Schuyler County, New York",10,+/-14
C4300US3609736107,"Tioga County, New York","Schuyler County, New York",15,+/-15
C4300US3609736109,"Tompkins County, New York","Schuyler County, New York","1,665",+/-260
C4300US3609736123,"Yates County, New York","Schuyler County, New York",205,+/-60
C4300US3609934003,"Bergen County, New Jersey","Seneca County, New York",4,+/-6
C4300US3609934005,"Burlington County, New Jersey","Seneca County, New York",10,+/-17
C4300US3609934031,"Passaic County, New Jersey","Seneca County, New York",4,+/-3
C4300US3609936001,"Albany County, New York","Seneca County, New York",4,+/-7
C4300US3609936007,"Broome County, New York","Seneca County, New York",10,+/-12
C4300US3609936011,"Cayuga County, New York","Seneca County, New York",795,+/-204
C4300US3609936015,"Chemung County, New York","Seneca County, New York",45,+/-28
C4300US3609936033,"Franklin County, New York","Seneca County, New York",4,+/-4
C4300US3609936037,"Genesee County, New York","Seneca County, New York",4,+/-27
C4300US3609936051,"Livingston County, New York","Seneca County, New York",10,+/-13
C4300US3609936055,"Monroe County, New York","Seneca County, New York",335,+/-101
C4300US3609936063,"Niagara County, New York","Seneca County, New York",4,+/-3
C4300US3609936067,"Onondaga County, New York","Seneca County, New York",265,+/-103
C4300US3609936069,"Ontario County, New York","Seneca County, New York","2,335",+/-351
C4300US3609936075,"Oswego County, New York","Seneca County, New York",85,+/-80
C4300US3609936097,"Schuyler County, New York","Seneca County, New York",100,+/-43
C4300US3609936099,"Seneca County, New York","Seneca County, New York","9,075",+/-595
C4300US3609936101,"Steuben County, New York","Seneca County, New York",35,+/-17
C4300US3609936109,"Tompkins County, New York","Seneca County, New York","1,130",+/-186
C4300US3609936117,"Wayne County, New York","Seneca County, New York",495,+/-130
C4300US3609936123,"Yates County, New York","Seneca County, New York",95,+/-55
C4300US3610134003,"Bergen County, New Jersey","Steuben County, New York",4,+/-8
C4300US3610134007,"Camden County, New Jersey","Steuben County, New York",10,+/-15
C4300US3610134035,"Somerset County, New Jersey","Steuben County, New York",4,+/-4
C4300US3610136001,"Albany County, New York","Steuben County, New York",4,+/-8
C4300US3610136003,"Allegany County, New York","Steuben County, New York",915,+/-146
C4300US3610136007,"Broome County, New York","Steuben County, New York",35,+/-20
C4300US3610136009,"Cattaraugus County, New York","Steuben County, New York",55,+/-43
C4300US3610136011,"Cayuga County, New York","Steuben County, New York",15,+/-24
C4300US3610136013,"Chautauqua County, New York","Steuben County, New York",4,+/-1
C4300US3610136015,"Chemung County, New York","Steuben County, New York","3,940",+/-362
C4300US3610136017,"Chenango County, New York","Steuben County, New York",10,+/-15
C4300US3610136023,"Cortland County, New York","Steuben County, New York",25,+/-23
C4300US3610136029,"Erie County, New York","Steuben County, New York",45,+/-29
C4300US3610136037,"Genesee County, New York","Steuben County, New York",30,+/-26
C4300US3610136047,"Kings County, New York","Steuben County, New York",20,+/-22
C4300US3610136051,"Livingston County, New York","Steuben County, New York","1,350",+/-198
C4300US3610136055,"Monroe County, New York","Steuben County, New York",770,+/-127
C4300US3610136061,"New York County, New York","Steuben County, New York",45,+/-36
C4300US3610136067,"Onondaga County, New York","Steuben County, New York",30,+/-22
C4300US3610136069,"Ontario County, New York","Steuben County, New York",555,+/-129
C4300US3610136073,"Orleans County, New York","Steuben County, New York",4,+/-30
C4300US3610136075,"Oswego County, New York","Steuben County, New York",20,+/-26
C4300US3610136077,"Otsego County, New York","Steuben County, New York",4,+/-30
C4300US3610136087,"Rockland County, New York","Steuben County, New York",4,+/-7
C4300US3610136089,"St. Lawrence County, New York","Steuben County, New York",10,+/-16
C4300US3610136097,"Schuyler County, New York","Steuben County, New York",470,+/-132
C4300US3610136099,"Seneca County, New York","Steuben County, New York",50,+/-27
C4300US3610136101,"Steuben County, New York","Steuben County, New York","31,465",+/-770
C4300US3610136107,"Tioga County, New York","Steuben County, New York",30,+/-23
C4300US3610136109,"Tompkins County, New York","Steuben County, New York",170,+/-69
C4300US3610136111,"Ulster County, New York","Steuben County, New York",15,+/-15
C4300US3610136117,"Wayne County, New York","Steuben County, New York",20,+/-20
C4300US3610136119,"Westchester County, New York","Steuben County, New York",15,+/-16
C4300US3610136121,"Wyoming County, New York","Steuben County, New York",10,+/-13
C4300US3610136123,"Yates County, New York","Steuben County, New York",590,+/-135
C4300US3610334001,"Atlantic County, New Jersey","Suffolk County, New York",15,+/-22
C4300US3610334003,"Bergen County, New Jersey","Suffolk County, New York",230,+/-100
C4300US3610334005,"Burlington County, New Jersey","Suffolk County, New York",15,+/-28
C4300US3610334007,"Camden County, New Jersey","Suffolk County, New York",10,+/-22
C4300US3610334011,"Cumberland County, New Jersey","Suffolk County, New York",25,+/-32
C4300US3610334013,"Essex County, New Jersey","Suffolk County, New York",180,+/-79
C4300US3610334017,"Hudson County, New Jersey","Suffolk County, New York",810,+/-185
C4300US3610334023,"Middlesex County, New Jersey","Suffolk County, New York",95,+/-68
C4300US3610334027,"Morris County, New Jersey","Suffolk County, New York",240,+/-118
C4300US3610334029,"Ocean County, New Jersey","Suffolk County, New York",20,+/-35
C4300US3610334031,"Passaic County, New Jersey","Suffolk County, New York",70,+/-48
